"name","url"
"Myriel","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Mgr_Bienvenu_par_Gustave_Brion.jpg/361px-Mgr_Bienvenu_par_Gustave_Brion.jpg"
"Napoleon","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mlle.Baptistine","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mme.Magloire","https://bwlewis.github.io/rthreejs/lemis.jpg"
"CountessdeLo","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Geborand","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Champtercier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Cravatte","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Count","https://bwlewis.github.io/rthreejs/lemis.jpg"
"OldMan","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Labarre","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Valjean","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis5_i.jpg"
"Marguerite","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mme.deR","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Isabeau","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Gervais","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Tholomyes","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Listolier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Fameuil","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Blacheville","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Favourite","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Dahlia","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Zephine","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Fantine","https://www.mtholyoke.edu/courses/rschwart/hist255-s01/courtesans/fantine.jpg"
"Mme.Thenardier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Thenardier","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis4_146.jpg"
"Cosette","https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Emile_Bayard_-_Cosette.jpg/385px-Emile_Bayard_-_Cosette.jpg"
"Javert","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Javert.jpg/440px-Javert.jpg"
"Fauchelevent","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Bamatabois","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Perpetue","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Simplice","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis1_202.jpg"
"Scaufflaire","https://bwlewis.github.io/rthreejs/lemis.jpg"
